as_of,signal,n_pairs,mean_rs,fx_tilt,agg,cost,kr_return,us_return,blend_return,strategy_return
2012-04-30,US,7,-0.09935,0.3743,-0.04593,0.0,-0.0699,-0.0627,-0.0663,-0.0627
2012-05-31,US,7,-0.05995,0.9265,-0.02071,0.0,0.0057,0.0396,0.0226,0.0396
2012-06-29,US,7,-0.0372,0.5463,-0.01314,0.0,0.0151,0.0126,0.0138,0.0126
2012-07-31,US,7,-0.0384,0.1433,-0.01777,0.0,0.0123,0.0198,0.016,0.0198
2012-08-31,US,7,-0.02582,-0.8624,-0.02153,0.0,0.0478,0.0242,0.036,0.0242
2012-09-28,US,7,0.00249,-0.8097,-0.00685,0.0,-0.0422,-0.0198,-0.031,-0.0198
2012-10-31,US,7,0.00859,-0.8759,-0.00446,0.0,0.0109,0.0028,0.0069,0.0028
2012-11-30,US,7,-0.00463,-0.9097,-0.01141,0.0,0.0332,0.0071,0.0201,0.0071
2012-12-31,US,7,0.00299,-0.9805,-0.00831,0.0,-0.0341,0.0504,0.0082,0.0504
2013-01-31,US,7,-0.05549,-0.1487,-0.02923,0.0,0.0329,0.0111,0.022,0.0111
2013-02-28,US,7,-0.0191,-0.0552,-0.0101,0.0,-0.0107,0.036,0.0127,0.036
2013-03-29,US,7,-0.09122,0.8501,-0.03711,0.0,-0.0204,0.0227,0.0011,0.0227
2013-04-30,US,7,-0.08576,0.548,-0.0374,0.0,0.0189,0.0208,0.0198,0.0208
2013-05-31,US,7,-0.09307,0.8726,-0.03781,0.0,-0.0688,-0.015,-0.0419,-0.015
2013-06-28,US,7,-0.12211,0.8011,-0.05304,0.0,0.0272,0.0495,0.0383,0.0495
2013-07-31,US,7,-0.07306,0.296,-0.03357,0.0,0.0064,-0.0313,-0.0124,-0.0313
2013-08-30,US,7,-0.05172,-0.5166,-0.03103,0.0,0.0366,0.0297,0.0332,0.0297
2013-09-30,US,7,-0.01369,-0.9689,-0.01653,0.0,0.0166,0.0446,0.0306,0.0446
2013-10-31,US,7,-0.04139,-0.9288,-0.02998,0.0,0.0073,0.028,0.0177,0.028
2013-11-29,US,7,-0.05138,-0.9232,-0.03492,0.0,-0.0164,0.0236,0.0036,0.0236
2013-12-31,US,7,-0.06322,-0.5825,-0.03744,0.0,-0.0132,-0.0356,-0.0244,-0.0356
2014-01-31,US,7,-0.02381,0.5815,-0.00609,0.0,0.0313,0.0431,0.0372,0.0431
2014-02-28,US,7,-0.03894,0.2699,-0.01677,0.0,0.0028,0.0069,0.0049,0.0069
2014-03-31,US,7,-0.05997,0.369,-0.02629,0.0,-0.012,0.0062,-0.0029,0.0062
2014-04-30,US,7,-0.06617,-0.8445,-0.04153,0.0,0.0169,0.021,0.019,0.021
2014-05-30,US,7,-0.06138,-0.9161,-0.03985,0.0,0.0036,0.0191,0.0113,0.0191
2014-06-30,US,7,-0.03695,-0.937,-0.02784,0.0,0.0369,-0.0151,0.0109,-0.0151
2014-07-31,US,7,0.00738,-0.1869,0.00182,0.0,-0.0037,0.0377,0.017,0.0377
2014-08-29,US,7,-0.0174,-0.2153,-0.01085,0.0,-0.0234,-0.0155,-0.0195,-0.0155
2014-09-30,US,7,-0.00402,0.8564,0.00655,0.0,-0.0276,0.0232,-0.0022,0.0232
2014-10-31,US,7,-0.06655,0.7546,-0.02573,0.0,0.0083,0.0245,0.0164,0.0245
2014-11-28,US,7,-0.05516,0.993,-0.01765,0.0,-0.0329,-0.0042,-0.0185,-0.0042
2014-12-31,US,7,-0.08251,0.8776,-0.03248,0.0,0.0118,-0.031,-0.0096,-0.031
2015-01-30,US,7,-0.00027,0.895,0.00881,0.0,0.0187,0.0549,0.0368,0.0549
2015-02-27,US,7,-0.04338,-0.0553,-0.02224,0.0,0.0278,-0.0174,0.0052,-0.0174
2015-03-31,KR,7,0.03645,0.3008,0.02123,0.003,0.0422,0.0085,0.0254,0.0392
2015-04-30,KR,7,0.07644,-0.7187,0.03103,0.0,-0.0058,0.0105,0.0023,-0.0058
2015-05-29,KR,7,0.07802,0.1894,0.0409,0.0,-0.0192,-0.021,-0.0201,-0.0192
2015-06-30,KR,7,0.09884,0.4613,0.05403,0.0,-0.0212,0.0197,-0.0007,-0.0212
2015-07-31,KR,7,-0.00823,0.9965,0.00585,0.0,-0.0437,-0.0626,-0.0531,-0.0437
2015-08-31,KR,7,0.03908,0.9719,0.02926,0.0,0.011,-0.0264,-0.0077,0.011
2015-09-30,KR,7,0.04594,0.9786,0.03275,0.0,0.034,0.083,0.0585,0.034
2015-10-30,KR,7,-0.00893,-0.5232,-0.0097,0.0,-0.0185,0.0005,-0.009,-0.0185
2015-11-30,KR,7,-0.00124,-0.4527,-0.00515,0.0,-0.0154,-0.0175,-0.0165,-0.0154
2015-12-31,KR,7,-0.01616,-0.4797,-0.01288,0.0,-0.0035,-0.0507,-0.0271,-0.0035
2016-01-29,KR,7,0.05742,0.9476,0.03819,0.0,0.0024,-0.0041,-0.0009,0.0024
2016-02-29,KR,7,0.0188,0.9917,0.01932,0.0,0.0413,0.066,0.0537,0.0413
2016-03-31,KR,7,-0.01924,-0.761,-0.01723,0.0,-0.0009,0.0027,0.0009,-0.0009
2016-04-29,US,7,-0.03014,-0.9626,-0.0247,0.003,-0.0054,0.0153,0.005,0.0123
2016-05-31,US,7,-0.03054,-0.8165,-0.02344,0.0,-0.0066,0.0009,-0.0028,0.0009
2016-06-30,US,7,-0.03435,-0.1128,-0.0183,0.0,0.0233,0.0356,0.0294,0.0356
2016-07-29,US,7,-0.07056,-0.3032,-0.03831,0.0,0.0092,-0.0012,0.004,-0.0012
2016-08-31,US,7,-0.04391,-0.977,-0.03173,0.0,0.0044,-0.0012,0.0016,-0.0012
2016-09-30,US,7,-0.03139,-0.898,-0.02467,0.0,-0.0173,-0.0194,-0.0184,-0.0194
2016-10-31,US,7,-0.05085,0.5998,-0.01942,0.0,-0.0123,0.0342,0.0109,0.0342
2016-11-30,US,7,-0.10498,0.9008,-0.04348,0.0,0.0217,0.0182,0.0199,0.0182
2016-12-30,US,7,-0.07674,0.9962,-0.02841,0.0,0.0204,0.0179,0.0192,0.0179
2017-01-31,US,7,-0.0796,0.5746,-0.03405,0.0,0.0116,0.0372,0.0244,0.0372
2017-02-28,US,7,-0.06041,-0.8011,-0.03821,0.0,0.0328,-0.0004,0.0162,-0.0004
2017-03-31,US,7,-0.03395,-0.985,-0.02683,0.0,0.0209,0.0091,0.015,0.0091
2017-04-28,US,7,-0.02197,-0.821,-0.01919,0.0,0.0644,0.0116,0.038,0.0116
2017-05-31,KR,7,0.08354,-0.2869,0.0389,0.003,0.0189,0.0048,0.0119,0.0159
2017-06-30,KR,7,0.04867,0.7957,0.03229,0.0,0.0046,0.0193,0.012,0.0046
2017-07-31,KR,7,0.03882,-0.172,0.01769,0.0,-0.0164,0.0005,-0.008,-0.0164
2017-08-31,KR,7,0.01953,-0.0169,0.00959,0.0,0.0132,0.0193,0.0163,0.0132
2017-09-29,KR,7,-0.02064,0.2368,-0.00795,0.0,0.0539,0.0222,0.038,0.0539
2017-10-31,KR,7,0.03109,-0.0178,0.01536,0.0,-0.0186,0.0281,0.0047,-0.0186
2017-11-30,US,7,-0.04048,-0.8589,-0.02883,0.003,-0.0036,0.0098,0.0031,0.0068
2017-12-29,US,7,-0.03795,-0.9769,-0.02874,0.0,0.035,0.0562,0.0456,0.0562
2018-01-31,US,7,-0.03793,-0.907,-0.02803,0.0,-0.0542,-0.0389,-0.0466,-0.0389
2018-02-28,US,7,-0.05062,-0.3152,-0.02846,0.0,0.0076,-0.0269,-0.0096,-0.0269
2018-03-30,US,7,0.00321,-0.2293,-0.00069,0.0,0.0284,0.0256,0.027,0.0256
2018-04-30,US,7,-0.01837,-0.0681,-0.00986,0.0,-0.0367,0.0216,-0.0076,0.0216
2018-05-31,US,7,-0.06409,-0.1338,-0.03338,0.0,-0.04,0.0048,-0.0176,0.0048
2018-06-29,US,7,-0.08853,0.9458,-0.03481,0.0,-0.0133,0.036,0.0114,0.036
2018-07-31,US,8,-0.09903,0.9108,-0.04041,0.0,0.012,0.0303,0.0211,0.0303
2018-08-31,US,8,-0.07523,0.8492,-0.02912,0.0,0.0087,0.0043,0.0065,0.0043
2018-09-28,US,8,-0.05018,-0.3012,-0.0281,0.0,-0.1337,-0.0694,-0.1016,-0.0694
2018-10-31,US,8,-0.11064,0.5565,-0.04975,0.0,0.0331,0.0179,0.0255,0.0179
2018-11-30,US,8,-0.0204,0.2522,-0.00768,0.0,-0.0266,-0.0918,-0.0592,-0.0918
2018-12-31,KR,8,0.05207,0.119,0.02723,0.003,0.0969,0.0787,0.0878,0.0939
2019-01-31,KR,8,0.02207,-0.6863,0.00417,0.0,-0.0043,0.0297,0.0127,-0.0043
2019-02-28,KR,8,0.00705,-0.4221,-0.0007,0.0,-0.0249,0.0179,-0.0035,-0.0249
2019-03-29,US,8,-0.07311,0.4122,-0.03243,0.003,0.0294,0.0393,0.0344,0.0363
2019-04-30,US,8,-0.0318,0.8397,-0.0075,0.0,-0.0734,-0.0658,-0.0696,-0.0658
2019-05-31,US,8,-0.03373,0.9753,-0.00711,0.0,0.0435,0.0689,0.0562,0.0689
2019-06-28,US,8,-0.08479,0.4606,-0.03779,0.0,-0.0498,0.0131,-0.0183,0.0131
2019-07-31,US,8,-0.11539,0.5572,-0.05212,0.0,-0.028,-0.0181,-0.0231,-0.0181
2019-08-30,US,8,-0.08234,0.3952,-0.03722,0.0,0.0484,0.0172,0.0328,0.0172
2019-09-30,US,8,-0.0509,0.8713,-0.01674,0.0,0.0099,0.0204,0.0152,0.0204
2019-10-31,US,8,-0.02712,-0.4451,-0.01801,0.0,0.0022,0.034,0.0181,0.034
2019-11-29,US,8,-0.04545,-0.7377,-0.0301,0.0,0.0525,0.0256,0.0391,0.0256
2019-12-31,US,8,-0.03143,-0.8156,-0.02387,0.0,-0.0258,-0.0099,-0.0179,-0.0099
2020-01-31,US,8,-0.04986,0.7142,-0.01779,0.0,-0.0623,-0.0841,-0.0732,-0.0841
2020-02-28,US,8,-0.01058,0.6072,0.00078,0.0,-0.1169,-0.1251,-0.121,-0.1251
2020-03-31,KR,8,0.03494,0.9295,0.02676,0.003,0.1099,0.1268,0.1184,0.1069
2020-04-30,KR,8,0.02752,0.6107,0.01987,0.0,0.0708,0.0453,0.0581,0.0708
2020-05-29,KR,8,0.0328,0.7009,0.02341,0.0,0.0388,0.0184,0.0286,0.0388
2020-06-30,KR,8,0.03938,-0.5907,0.01378,0.0,0.0669,0.0551,0.061,0.0669
2020-07-31,KR,8,0.05062,-0.4867,0.02044,0.0,0.0341,0.0701,0.0521,0.0341
2020-08-31,KR,8,0.05045,-0.8271,0.01696,0.0,0.0007,-0.0392,-0.0192,0.0007
2020-09-30,KR,8,0.06127,-0.7454,0.02318,0.0,-0.0385,-0.0277,-0.0331,-0.0385
2020-10-30,KR,8,0.046,-0.9031,0.01397,0.0,0.143,0.1075,0.1253,0.143
2020-11-30,KR,8,0.03291,-0.9647,0.00681,0.0,0.1089,0.0371,0.073,0.1089
2020-12-31,KR,8,0.05187,-0.9799,0.01614,0.0,0.0108,-0.0111,-0.0002,0.0108
2021-01-29,KR,8,0.08225,-0.3508,0.03762,0.0,0.0123,0.0261,0.0192,0.0123
2021-02-26,KR,8,0.00789,0.5023,0.00897,0.0,0.0161,0.0424,0.0293,0.0161
2021-03-31,KR,8,-0.00509,0.8649,0.0061,0.0,0.0282,0.0524,0.0403,0.0282
2021-04-30,KR,8,-0.03686,-0.0143,-0.01857,0.0,0.0178,0.0055,0.0116,0.0178
2021-05-31,KR,8,0.00638,-0.4726,-0.00154,0.0,0.029,0.0227,0.0258,0.029
2021-06-30,KR,8,0.00133,-0.062,4e-05,0.0,-0.0286,0.0227,-0.0029,-0.0286
2021-07-30,US,8,-0.05922,0.7707,-0.0219,0.003,-0.001,0.029,0.014,0.026
2021-08-31,US,8,-0.04545,0.9172,-0.01355,0.0,-0.0408,-0.0476,-0.0442,-0.0476
2021-09-30,US,8,-0.04886,0.9194,-0.01524,0.0,-0.032,0.0691,0.0186,0.0691
2021-10-29,US,8,-0.12808,0.7231,-0.05681,0.0,-0.0443,-0.0083,-0.0263,-0.0083
2021-11-30,US,8,-0.13725,0.4822,-0.0638,0.0,0.0488,0.0436,0.0462,0.0436
2021-12-31,US,8,-0.12845,0.1046,-0.06318,0.0,-0.109,-0.0526,-0.0808,-0.0526
2022-01-31,US,8,-0.16626,0.6942,-0.07619,0.0,-0.0032,-0.0314,-0.0173,-0.0314
2022-02-28,US,8,-0.08,0.1575,-0.03842,0.0,0.0217,0.0358,0.0287,0.0358
2022-03-31,US,8,-0.08493,0.6264,-0.0362,0.0,-0.0227,-0.088,-0.0553,-0.088
2022-04-29,KR,8,0.04516,0.9003,0.03158,0.003,-0.0034,0.0001,-0.0017,-0.0064
2022-05-31,KR,8,0.01043,0.8244,0.01346,0.0,-0.1315,-0.0839,-0.1077,-0.1315
2022-06-30,KR,8,-0.00465,0.9719,0.0074,0.0,0.051,0.0911,0.071,0.051
2022-07-29,KR,8,-0.04326,0.7834,-0.0138,0.0,0.0084,-0.0424,-0.017,0.0084
2022-08-31,KR,8,-0.0045,0.9902,0.00765,0.0,-0.1281,-0.0934,-0.1107,-0.1281
2022-09-30,KR,8,-0.03442,0.9993,-0.00722,0.0,0.0641,0.0799,0.072,0.0641
2022-10-31,US,8,-0.08756,0.9963,-0.03382,0.003,0.078,0.0538,0.0659,0.0508
2022-11-30,US,8,-0.0386,-0.8301,-0.0276,0.0,-0.0955,-0.059,-0.0772,-0.059
2022-12-30,US,8,-0.05322,-0.9995,-0.03661,0.0,0.0896,0.0618,0.0757,0.0618
2023-01-31,US,8,-0.01743,-0.9998,-0.01871,0.0,-0.005,-0.0261,-0.0156,-0.0261
2023-02-28,US,8,-0.02979,-0.3938,-0.01883,0.0,0.0265,0.0351,0.0308,0.0351
2023-03-31,US,8,-0.03075,0.832,-0.00706,0.0,0.01,0.0146,0.0123,0.0146
2023-04-28,US,8,-0.02425,0.9943,-0.00218,0.0,0.0302,0.0025,0.0163,0.0025
2023-05-31,US,8,0.00083,-0.0619,-0.00021,0.0,-0.005,0.0647,0.0299,0.0647
2023-06-30,US,8,-0.08293,0.444,-0.03702,0.0,0.0266,0.0311,0.0289,0.0311
2023-07-31,US,8,-0.0728,-0.9039,-0.04544,0.0,-0.029,-0.0177,-0.0234,-0.0177
2023-08-31,US,8,-0.07117,0.1151,-0.03443,0.0,-0.0357,-0.0487,-0.0422,-0.0487
2023-09-29,US,8,-0.0284,0.6404,-0.0078,0.0,-0.0531,-0.022,-0.0375,-0.022
2023-10-31,US,8,-0.06771,0.9594,-0.02426,0.0,0.113,0.0892,0.1011,0.0892
2023-11-30,US,8,-0.03558,-0.5427,-0.02322,0.0,0.0473,0.0442,0.0458,0.0442
2023-12-29,US,8,-0.00468,-0.8911,-0.01125,0.0,-0.0647,0.0159,-0.0244,0.0159
2024-01-31,US,8,-0.05106,-0.4281,-0.02981,0.0,0.0582,0.0517,0.0549,0.0517
2024-02-29,US,8,-0.01716,0.8096,-0.00048,0.0,0.0395,0.031,0.0352,0.031
2024-03-29,US,8,-0.05742,0.8631,-0.02008,0.0,-0.0199,-0.0397,-0.0298,-0.0397
2024-04-30,US,8,0.01378,0.8909,0.0158,0.0,-0.0206,0.048,0.0137,0.048
2024-05-31,US,8,-0.05182,0.8247,-0.01766,0.0,0.0612,0.0347,0.0479,0.0347
2024-06-28,US,8,-0.0272,0.648,-0.00712,0.0,-0.0097,0.0113,0.0008,0.0113
2024-07-31,US,8,-0.03818,-0.3732,-0.02282,0.0,-0.0348,0.0228,-0.006,0.0228
2024-08-30,US,8,-0.04757,-0.7286,-0.03107,0.0,-0.0303,0.0202,-0.0051,0.0202
2024-09-30,US,8,-0.0432,-0.9118,-0.03072,0.0,-0.0143,-0.0099,-0.0121,-0.0099
2024-10-31,US,8,-0.04,0.085,-0.01915,0.0,-0.0392,0.0573,0.009,0.0573
2024-11-29,US,8,-0.13633,0.9114,-0.05905,0.0,-0.023,-0.025,-0.024,-0.025
2024-12-31,US,8,-0.08212,0.9994,-0.03107,0.0,0.0494,0.027,0.0382,0.027
2025-01-31,US,8,-0.0574,0.9653,-0.01904,0.0,0.0061,-0.0142,-0.0041,-0.0142
2025-02-28,US,8,-0.03039,0.924,-0.00596,0.0,-0.0204,-0.0575,-0.039,-0.0575
2025-03-31,US,8,-0.01686,-0.1064,-0.00949,0.0,0.0304,-0.0076,0.0114,-0.0076
2025-04-30,US,8,0.03173,-0.4103,0.01176,0.0,0.0552,0.0615,0.0583,0.0615
2025-05-30,KR,8,0.06309,-0.9453,0.02209,0.003,0.1386,0.0496,0.0941,0.1356
2025-06-30,KR,8,0.12371,-0.9902,0.05195,0.0,0.0566,0.0217,0.0391,0.0566
2025-07-31,KR,8,0.1107,-0.6374,0.04898,0.0,-0.0183,0.0191,0.0004,-0.0183
2025-08-29,KR,8,0.05125,0.4031,0.02966,0.0,0.0749,0.0353,0.0551,0.0749
2025-09-30,KR,8,0.04073,0.8529,0.02889,0.0,0.1994,0.0227,0.111,0.1994
2025-10-31,KR,8,0.12499,0.7063,0.06956,0.0,-0.044,0.0013,-0.0214,-0.044
2025-11-28,KR,8,0.08489,0.9622,0.05207,0.0,0.0732,-0.0005,0.0364,0.0732
2025-12-31,KR,8,0.06462,0.6993,0.0393,0.0,0.2123,0.0137,0.113,0.2123
2026-01-30,KR,8,0.13876,0.4619,0.074,0.0,0.1952,-0.0087,0.0933,0.1952
2026-02-27,KR,8,0.23138,-0.472,0.11097,0.0,-0.1908,-0.0509,-0.1209,-0.1908
2026-03-31,KR,8,0.05787,0.9105,0.03804,0.0,0.2644,0.082,0.1732,0.2644
