as_of,signal,n_pairs,mean_rs,fx_tilt,agg,cost,kr_return,us_return,blend_return,strategy_return
2013-12-31,US,4,-0.02493,-0.5825,-0.02095,0.0,-0.0132,-0.0356,-0.0244,-0.0356
2014-01-31,US,4,-0.01958,0.5815,-0.01022,0.0,0.0313,0.0431,0.0372,0.0431
2014-02-28,US,4,-0.02434,0.2699,-0.01542,0.0,0.0028,0.0069,0.0049,0.0069
2014-03-31,US,4,-0.06836,0.369,-0.04564,0.0,-0.012,0.0062,-0.0029,0.0062
2014-04-30,US,4,-0.06742,-0.8445,-0.05226,0.0,0.0169,0.021,0.019,0.021
2014-05-30,US,4,-0.06,-0.9161,-0.0475,0.0,0.0036,0.0191,0.0113,0.0191
2014-06-30,US,4,-0.03594,-0.937,-0.03078,0.0,0.0369,-0.0151,0.0109,-0.0151
2014-07-31,US,4,0.02373,-0.1869,0.01549,0.0,-0.0037,0.0377,0.017,0.0377
2014-08-29,US,4,-0.01045,-0.2153,-0.00861,0.0,-0.0234,-0.0155,-0.0195,-0.0155
2014-09-30,US,4,0.0018,0.8564,0.0064,0.0,-0.0276,0.0232,-0.0022,0.0232
2014-10-31,US,4,-0.04882,0.7546,-0.02964,0.0,0.0083,0.0245,0.0164,0.0245
2014-11-28,US,4,-0.02498,0.993,-0.01153,0.0,-0.0329,-0.0042,-0.0185,-0.0042
2014-12-31,US,4,-0.06756,0.8776,-0.04202,0.0,0.0118,-0.031,-0.0096,-0.031
2015-01-30,KR,4,0.03488,0.895,0.02979,0.003,0.0187,0.0549,0.0368,0.0157
2015-02-27,KR,4,-0.02546,-0.0553,-0.01816,0.0,0.0278,-0.0174,0.0052,0.0278
2015-03-31,KR,4,0.0384,0.3008,0.02868,0.0,0.0422,0.0085,0.0254,0.0422
2015-04-30,KR,4,0.0635,-0.7187,0.04014,0.0,-0.0058,0.0105,0.0023,-0.0058
2015-05-29,KR,4,0.04494,0.1894,0.0326,0.0,-0.0192,-0.021,-0.0201,-0.0192
2015-06-30,KR,4,0.08075,0.4613,0.05929,0.0,-0.0212,0.0197,-0.0007,-0.0212
2015-07-31,KR,4,-0.01926,0.9965,-0.0075,0.0,-0.0437,-0.0626,-0.0531,-0.0437
2015-08-31,KR,4,0.02144,0.9719,0.02084,0.0,0.011,-0.0264,-0.0077,0.011
2015-09-30,KR,4,0.05705,0.9786,0.04581,0.0,0.034,0.083,0.0585,0.034
2015-10-30,KR,4,-0.00798,-0.5232,-0.00872,0.0,-0.0185,0.0005,-0.009,-0.0185
2015-11-30,KR,4,-0.00387,-0.4527,-0.00542,0.0,-0.0154,-0.0175,-0.0165,-0.0154
2015-12-31,KR,4,-0.00228,-0.4797,-0.00448,0.0,-0.0035,-0.0507,-0.0271,-0.0035
2016-01-29,KR,4,0.02974,0.9476,0.02651,0.0,0.0024,-0.0041,-0.0009,0.0024
2016-02-29,KR,4,0.03953,0.9917,0.03362,0.0,0.0413,0.066,0.0537,0.0413
2016-03-31,KR,4,-0.01481,-0.761,-0.01493,0.0,-0.0009,0.0027,0.0009,-0.0009
2016-04-29,KR,4,-0.01563,-0.9626,-0.01672,0.0,-0.0054,0.0153,0.005,-0.0054
2016-05-31,US,4,-0.03439,-0.8165,-0.02897,0.003,-0.0066,0.0009,-0.0028,-0.0021
2016-06-30,US,4,-0.05433,-0.1128,-0.0387,0.0,0.0233,0.0356,0.0294,0.0356
2016-07-29,US,4,-0.04342,-0.3032,-0.03222,0.0,0.0092,-0.0012,0.004,-0.0012
2016-08-31,US,4,-0.0453,-0.977,-0.03757,0.0,0.0044,-0.0012,0.0016,-0.0012
2016-09-30,US,4,-0.01889,-0.898,-0.01861,0.0,-0.0173,-0.0194,-0.0184,-0.0194
2016-10-31,US,4,-0.01082,0.5998,-0.00397,0.0,-0.0123,0.0342,0.0109,0.0342
2016-11-30,US,4,-0.05583,0.9008,-0.03368,0.0,0.0217,0.0182,0.0199,0.0182
2016-12-30,US,4,-0.04339,0.9962,-0.0244,0.0,0.0204,0.0179,0.0192,0.0179
2017-01-31,US,4,-0.01759,0.5746,-0.00887,0.0,0.0116,0.0372,0.0244,0.0372
2017-02-28,US,4,-0.0339,-0.8011,-0.02853,0.0,0.0328,-0.0004,0.0162,-0.0004
2017-03-31,US,4,0.02444,-0.985,0.0112,0.0,0.0209,0.0091,0.015,0.0091
2017-04-28,US,4,0.01775,-0.821,0.0075,0.0,0.0644,0.0116,0.038,0.0116
2017-05-31,KR,4,0.10719,-0.2869,0.07331,0.003,0.0189,0.0048,0.0119,0.0159
2017-06-30,KR,4,0.08447,0.7957,0.0639,0.0,0.0046,0.0193,0.012,0.0046
2017-07-31,KR,4,0.06633,-0.172,0.0454,0.0,-0.0164,0.0005,-0.008,-0.0164
2017-08-31,KR,4,0.06236,-0.0169,0.04355,0.0,0.0132,0.0193,0.0163,0.0132
2017-09-29,KR,4,0.00022,0.2368,0.00158,0.0,0.0539,0.0222,0.038,0.0539
2017-10-31,KR,4,0.03026,-0.0178,0.02107,0.0,-0.0186,0.0281,0.0047,-0.0186
2017-11-30,US,4,-0.03875,-0.8589,-0.03228,0.003,-0.0036,0.0098,0.0031,0.0068
2017-12-29,US,4,-0.04146,-0.9769,-0.03488,0.0,0.035,0.0562,0.0456,0.0562
2018-01-31,US,4,-0.0468,-0.907,-0.0382,0.0,-0.0542,-0.0389,-0.0466,-0.0389
2018-02-28,US,4,-0.04851,-0.3152,-0.03585,0.0,0.0076,-0.0269,-0.0096,-0.0269
2018-03-30,US,4,-0.00573,-0.2293,-0.00538,0.0,0.0284,0.0256,0.027,0.0256
2018-04-30,US,4,-0.02337,-0.0681,-0.01676,0.0,-0.0367,0.0216,-0.0076,0.0216
2018-05-31,US,4,-0.06532,-0.1338,-0.04653,0.0,-0.04,0.0048,-0.0176,0.0048
2018-06-29,US,4,-0.06664,0.9458,-0.04097,0.0,-0.0133,0.036,0.0114,0.036
2018-07-31,US,4,-0.08358,0.9108,-0.05304,0.0,0.012,0.0303,0.0211,0.0303
2018-08-31,US,4,-0.07529,0.8492,-0.04761,0.0,0.0087,0.0043,0.0065,0.0043
2018-09-28,US,4,-0.05579,-0.3012,-0.04086,0.0,-0.1337,-0.0694,-0.1016,-0.0694
2018-10-31,US,4,-0.09596,0.5565,-0.06384,0.0,0.0331,0.0179,0.0255,0.0179
2018-11-30,US,4,-0.01758,0.2522,-0.01079,0.0,-0.0266,-0.0918,-0.0592,-0.0918
2018-12-31,KR,4,0.04315,0.119,0.03092,0.003,0.0969,0.0787,0.0878,0.0939
2019-01-31,KR,4,0.02549,-0.6863,0.01373,0.0,-0.0043,0.0297,0.0127,-0.0043
2019-02-28,KR,4,0.00839,-0.4221,0.00334,0.0,-0.0249,0.0179,-0.0035,-0.0249
2019-03-29,US,4,-0.06017,0.4122,-0.03965,0.003,0.0294,0.0393,0.0344,0.0363
2019-04-30,US,4,-0.05161,0.8397,-0.03109,0.0,-0.0734,-0.0658,-0.0696,-0.0658
