as_of,kr_mom,us_mom,kr_breadth,us_breadth,rel_strength,risk_score,macro_score,composite,signal,cost,kr_return,us_return,kr_return_usd,fx_return,blend_return,blend_return_usd,strategy_return,strategy_return_usd
2010-07-30,0.0397,0.0194,,,0.0304,0.4705,-0.414,0.1637,KR,0.0,-0.0094,-0.0474,-0.0169,0.0076,-0.0284,-0.0322,-0.0094,-0.0169
2010-08-31,0.0552,-0.0417,,,0.0937,-0.1377,-0.412,0.3073,KR,0.0,0.0746,0.0876,0.1255,-0.0452,0.0811,0.1065,0.0746,0.1255
2010-09-30,0.1239,0.0657,,,0.0497,0.2069,-0.412,0.2886,KR,0.0,0.0054,0.0369,0.0115,-0.006,0.0211,0.0242,0.0054,0.0115
2010-10-29,0.0706,0.0341,0.875,0.8889,0.0242,0.3677,-0.412,0.1963,KR,0.0,0.0115,-0.0023,-0.0151,0.027,0.0046,-0.0087,0.0115,-0.0151
2010-11-30,0.0908,0.0762,0.875,0.8889,0.0287,0.0878,-0.462,0.05,Neutral,0.003,0.0768,0.0653,0.0993,-0.0309,0.0711,0.0823,0.0681,0.0793
2010-12-31,0.1289,0.1333,1.0,1.0,0.0059,0.4837,-0.464,-0.0521,Neutral,0.0,-0.0002,0.0226,0.0043,-0.0086,0.0112,0.0135,0.0112,0.0135
2011-01-31,0.0707,0.0863,0.875,1.0,0.002,0.3551,-0.288,-0.1863,US,0.003,-0.063,0.032,-0.0711,0.0087,-0.0155,-0.0196,0.029,0.029
2011-02-28,-0.0012,0.132,0.875,1.0,-0.1054,0.4977,-0.2936,-0.5247,US,0.0,0.0863,-0.001,0.1148,-0.0256,0.0426,0.0569,-0.001,-0.001
2011-03-31,0.0717,0.0845,0.875,1.0,0.0163,0.4155,-0.2916,-0.1217,US,0.0,0.0407,0.0285,0.0694,-0.0269,0.0346,0.0489,0.0285,0.0285
2011-04-29,0.07,0.0925,0.8182,1.0,0.0108,0.6652,-0.2426,-0.1639,US,0.0,-0.0228,-0.0135,-0.0287,0.0061,-0.0181,-0.0211,-0.0135,-0.0135
2011-05-31,0.0515,0.062,0.5455,1.0,0.0118,0.321,-0.2242,-0.1823,US,0.0,-0.0195,-0.0183,-0.0136,-0.006,-0.0189,-0.0159,-0.0183,-0.0183
2011-06-30,0.0225,0.0287,0.7273,0.8889,-0.0042,0.3495,-0.2584,-0.1618,US,0.0,0.0155,-0.0215,0.0347,-0.0186,-0.003,0.0066,-0.0215,-0.0215
2011-07-29,0.0207,-0.0072,0.7273,0.7778,0.0127,-0.253,-0.274,0.0453,Neutral,0.003,-0.1186,-0.0568,-0.1374,0.0217,-0.0877,-0.0971,-0.0907,-0.1001
2011-08-31,-0.0621,-0.0455,0.2727,0.3333,-0.0264,-0.5827,-0.272,-0.3682,US,0.003,-0.0588,-0.0718,-0.1429,0.0982,-0.0653,-0.1073,-0.0748,-0.0748
2011-09-30,-0.115,-0.1197,0.1818,0.1111,0.0075,-0.6248,-0.2078,-0.0445,Neutral,0.003,0.0788,0.1077,0.1501,-0.062,0.0932,0.1289,0.0902,0.1259
2011-10-31,-0.0545,0.0188,0.3636,0.5556,-0.0346,0.309,-0.2147,-0.4786,US,0.003,-0.0322,-0.0051,-0.063,0.0329,-0.0186,-0.034,-0.0081,-0.0081
2011-11-30,-0.0685,-0.0032,0.1818,0.5556,-0.0357,0.3085,-0.2595,-0.5126,US,0.0,-0.0118,0.0085,-0.025,0.0132,-0.0016,-0.0082,0.0085,0.0085
