as_of,n_pairs,mean_rs,breadth,breadth_centered,weighted,mean_signal,breadth_signal,weighted_signal,mean_cost,breadth_cost,weighted_cost,kr_return,us_return,mean_strategy,breadth_strategy,weighted_strategy,blend_return
2024-01-31,8,-0.05106,0.125,-0.375,0.0383,US,US,KR,0.0,0.0,0.0,0.0582,0.0517,0.0517,0.0517,0.0582,0.0549
2024-02-29,8,-0.01716,0.25,-0.25,0.00858,US,US,KR,0.0,0.0,0.0,0.0395,0.031,0.031,0.031,0.0395,0.0352
2024-03-29,8,-0.05742,0.125,-0.375,0.04306,US,US,KR,0.0,0.0,0.0,-0.0199,-0.0397,-0.0397,-0.0397,-0.0199,-0.0298
2024-04-30,8,0.01378,0.75,0.25,0.00689,US,KR,KR,0.0,0.003,0.0,-0.0206,0.048,0.048,-0.0236,-0.0206,0.0137
2024-05-31,8,-0.05182,0.375,-0.125,0.01295,US,KR,KR,0.0,0.0,0.0,0.0612,0.0347,0.0347,0.0612,0.0612,0.0479
2024-06-28,8,-0.0272,0.5,0.0,-0.0,US,KR,KR,0.0,0.0,0.0,-0.0097,0.0113,0.0113,-0.0097,-0.0097,0.0008
2024-07-31,8,-0.03818,0.375,-0.125,0.00955,US,KR,KR,0.0,0.0,0.0,-0.0348,0.0228,0.0228,-0.0348,-0.0348,-0.006
2024-08-30,8,-0.04757,0.125,-0.375,0.03568,US,US,KR,0.0,0.003,0.0,-0.0303,0.0202,0.0202,0.0172,-0.0303,-0.0051
2024-09-30,8,-0.0432,0.125,-0.375,0.0324,US,US,KR,0.0,0.0,0.0,-0.0143,-0.0099,-0.0099,-0.0099,-0.0143,-0.0121
2024-10-31,8,-0.04,0.25,-0.25,0.02,US,US,KR,0.0,0.0,0.0,-0.0392,0.0573,0.0573,0.0573,-0.0392,0.009
2024-11-29,8,-0.13633,0.0,-0.5,0.13633,US,US,KR,0.0,0.0,0.0,-0.023,-0.025,-0.025,-0.025,-0.023,-0.024
2024-12-31,8,-0.08212,0.125,-0.375,0.06159,US,US,KR,0.0,0.0,0.0,0.0494,0.027,0.027,0.027,0.0494,0.0382
2025-01-31,8,-0.0574,0.0,-0.5,0.0574,US,US,KR,0.0,0.0,0.0,0.0061,-0.0142,-0.0142,-0.0142,0.0061,-0.0041
2025-02-28,8,-0.03039,0.125,-0.375,0.02279,US,US,KR,0.0,0.0,0.0,-0.0204,-0.0575,-0.0575,-0.0575,-0.0204,-0.039
2025-03-31,8,-0.01686,0.625,0.125,-0.00422,US,US,KR,0.0,0.0,0.0,0.0304,-0.0076,-0.0076,-0.0076,0.0304,0.0114
2025-04-30,8,0.03173,0.75,0.25,0.01586,KR,KR,KR,0.003,0.003,0.0,0.0552,0.0615,0.0522,0.0522,0.0552,0.0583
2025-05-30,8,0.06309,0.75,0.25,0.03154,KR,KR,KR,0.0,0.0,0.0,0.1386,0.0496,0.1386,0.1386,0.1386,0.0941
2025-06-30,8,0.12371,0.875,0.375,0.09278,KR,KR,KR,0.0,0.0,0.0,0.0566,0.0217,0.0566,0.0566,0.0566,0.0391
2025-07-31,8,0.1107,1.0,0.5,0.1107,KR,KR,KR,0.0,0.0,0.0,-0.0183,0.0191,-0.0183,-0.0183,-0.0183,0.0004
2025-08-29,8,0.05125,0.875,0.375,0.03844,KR,KR,KR,0.0,0.0,0.0,0.0749,0.0353,0.0749,0.0749,0.0749,0.0551
2025-09-30,8,0.04073,0.75,0.25,0.02037,KR,KR,KR,0.0,0.0,0.0,0.1994,0.0227,0.1994,0.1994,0.1994,0.111
2025-10-31,8,0.12499,1.0,0.5,0.12499,KR,KR,KR,0.0,0.0,0.0,-0.044,0.0013,-0.044,-0.044,-0.044,-0.0214
2025-11-28,8,0.08489,0.75,0.25,0.04245,KR,KR,KR,0.0,0.0,0.0,0.0732,-0.0005,0.0732,0.0732,0.0732,0.0364
2025-12-31,8,0.06462,0.875,0.375,0.04846,KR,KR,KR,0.0,0.0,0.0,0.2123,0.0137,0.2123,0.2123,0.2123,0.113
2026-01-30,8,0.13876,0.875,0.375,0.10407,KR,KR,KR,0.0,0.0,0.0,0.1952,-0.0087,0.1952,0.1952,0.1952,0.0933
2026-02-27,8,0.23138,1.0,0.5,0.23138,KR,KR,KR,0.0,0.0,0.0,-0.1908,-0.0509,-0.1908,-0.1908,-0.1908,-0.1209
2026-03-31,8,0.05787,0.625,0.125,0.01447,KR,KR,KR,0.0,0.0,0.0,0.2644,0.082,0.2644,0.2644,0.2644,0.1732
