as_of,n_pairs,mean_rs,breadth,breadth_centered,weighted,mean_signal,breadth_signal,weighted_signal,mean_cost,breadth_cost,weighted_cost,kr_return,us_return,mean_strategy,breadth_strategy,weighted_strategy,blend_return
2013-04-30,7,-0.08576,0.2857,-0.2143,0.03675,US,US,KR,0.0,0.0,0.0,0.0189,0.0208,0.0208,0.0208,0.0189,0.0198
2013-05-31,7,-0.09307,0.0,-0.5,0.09307,US,US,KR,0.0,0.0,0.0,-0.0688,-0.015,-0.015,-0.015,-0.0688,-0.0419
2013-06-28,7,-0.12211,0.0,-0.5,0.12211,US,US,KR,0.0,0.0,0.0,0.0272,0.0495,0.0495,0.0495,0.0272,0.0383
2013-07-31,7,-0.07306,0.0,-0.5,0.07306,US,US,KR,0.0,0.0,0.0,0.0064,-0.0313,-0.0313,-0.0313,0.0064,-0.0124
2013-08-30,7,-0.05172,0.0,-0.5,0.05172,US,US,KR,0.0,0.0,0.0,0.0366,0.0297,0.0297,0.0297,0.0366,0.0332
2013-09-30,7,-0.01369,0.2857,-0.2143,0.00587,US,US,KR,0.0,0.0,0.0,0.0166,0.0446,0.0446,0.0446,0.0166,0.0306
2013-10-31,7,-0.04139,0.1429,-0.3571,0.02956,US,US,KR,0.0,0.0,0.0,0.0073,0.028,0.028,0.028,0.0073,0.0177
2013-11-29,7,-0.05138,0.0,-0.5,0.05138,US,US,KR,0.0,0.0,0.0,-0.0164,0.0236,0.0236,0.0236,-0.0164,0.0036
2013-12-31,7,-0.06322,0.1429,-0.3571,0.04516,US,US,KR,0.0,0.0,0.0,-0.0132,-0.0356,-0.0356,-0.0356,-0.0132,-0.0244
2014-01-31,7,-0.02381,0.2857,-0.2143,0.0102,US,US,KR,0.0,0.0,0.0,0.0313,0.0431,0.0431,0.0431,0.0313,0.0372
2014-02-28,7,-0.03894,0.1429,-0.3571,0.02781,US,US,KR,0.0,0.0,0.0,0.0028,0.0069,0.0069,0.0069,0.0028,0.0049
2014-03-31,7,-0.05997,0.1429,-0.3571,0.04283,US,US,KR,0.0,0.0,0.0,-0.012,0.0062,0.0062,0.0062,-0.012,-0.0029
2014-04-30,7,-0.06617,0.0,-0.5,0.06617,US,US,KR,0.0,0.0,0.0,0.0169,0.021,0.021,0.021,0.0169,0.019
2014-05-30,7,-0.06138,0.0,-0.5,0.06138,US,US,KR,0.0,0.0,0.0,0.0036,0.0191,0.0191,0.0191,0.0036,0.0113
2014-06-30,7,-0.03695,0.4286,-0.0714,0.00528,US,US,KR,0.0,0.0,0.0,0.0369,-0.0151,-0.0151,-0.0151,0.0369,0.0109
2014-07-31,7,0.00738,0.5714,0.0714,0.00105,US,US,KR,0.0,0.0,0.0,-0.0037,0.0377,0.0377,0.0377,-0.0037,0.017
2014-08-29,7,-0.0174,0.4286,-0.0714,0.00249,US,US,KR,0.0,0.0,0.0,-0.0234,-0.0155,-0.0155,-0.0155,-0.0234,-0.0195
2014-09-30,7,-0.00402,0.4286,-0.0714,0.00057,US,US,KR,0.0,0.0,0.0,-0.0276,0.0232,0.0232,0.0232,-0.0276,-0.0022
2014-10-31,7,-0.06655,0.0,-0.5,0.06655,US,US,KR,0.0,0.0,0.0,0.0083,0.0245,0.0245,0.0245,0.0083,0.0164
2014-11-28,7,-0.05516,0.1429,-0.3571,0.0394,US,US,KR,0.0,0.0,0.0,-0.0329,-0.0042,-0.0042,-0.0042,-0.0329,-0.0185
2014-12-31,7,-0.08251,0.0,-0.5,0.08251,US,US,KR,0.0,0.0,0.0,0.0118,-0.031,-0.031,-0.031,0.0118,-0.0096
2015-01-30,7,-0.00027,0.4286,-0.0714,4e-05,US,US,KR,0.0,0.0,0.0,0.0187,0.0549,0.0549,0.0549,0.0187,0.0368
2015-02-27,7,-0.04338,0.1429,-0.3571,0.03099,US,US,KR,0.0,0.0,0.0,0.0278,-0.0174,-0.0174,-0.0174,0.0278,0.0052
2015-03-31,7,0.03645,0.5714,0.0714,0.00521,KR,US,KR,0.003,0.0,0.0,0.0422,0.0085,0.0392,0.0085,0.0422,0.0254
2015-04-30,7,0.07644,0.7143,0.2143,0.03276,KR,KR,KR,0.0,0.003,0.0,-0.0058,0.0105,-0.0058,-0.0088,-0.0058,0.0023
2015-05-29,7,0.07802,0.5714,0.0714,0.01115,KR,KR,KR,0.0,0.0,0.0,-0.0192,-0.021,-0.0192,-0.0192,-0.0192,-0.0201
2015-06-30,7,0.09884,0.7143,0.2143,0.04236,KR,KR,KR,0.0,0.0,0.0,-0.0212,0.0197,-0.0212,-0.0212,-0.0212,-0.0007
2015-07-31,7,-0.00823,0.4286,-0.0714,0.00118,KR,KR,KR,0.0,0.0,0.0,-0.0437,-0.0626,-0.0437,-0.0437,-0.0437,-0.0531
2015-08-31,7,0.03908,0.7143,0.2143,0.01675,KR,KR,KR,0.0,0.0,0.0,0.011,-0.0264,0.011,0.011,0.011,-0.0077
2015-09-30,7,0.04594,0.7143,0.2143,0.01969,KR,KR,KR,0.0,0.0,0.0,0.034,0.083,0.034,0.034,0.034,0.0585
2015-10-30,7,-0.00893,0.2857,-0.2143,0.00383,KR,US,KR,0.0,0.003,0.0,-0.0185,0.0005,-0.0185,-0.0025,-0.0185,-0.009
2015-11-30,7,-0.00124,0.2857,-0.2143,0.00053,KR,US,KR,0.0,0.0,0.0,-0.0154,-0.0175,-0.0154,-0.0175,-0.0154,-0.0165
2015-12-31,7,-0.01616,0.2857,-0.2143,0.00692,KR,US,KR,0.0,0.0,0.0,-0.0035,-0.0507,-0.0035,-0.0507,-0.0035,-0.0271
2016-01-29,7,0.05742,0.5714,0.0714,0.0082,KR,US,KR,0.0,0.0,0.0,0.0024,-0.0041,0.0024,-0.0041,0.0024,-0.0009
2016-02-29,7,0.0188,0.5714,0.0714,0.00269,KR,US,KR,0.0,0.0,0.0,0.0413,0.066,0.0413,0.066,0.0413,0.0537
2016-03-31,7,-0.01924,0.4286,-0.0714,0.00275,KR,US,KR,0.0,0.0,0.0,-0.0009,0.0027,-0.0009,0.0027,-0.0009,0.0009
2016-04-29,7,-0.03014,0.2857,-0.2143,0.01292,US,US,KR,0.003,0.0,0.0,-0.0054,0.0153,0.0123,0.0153,-0.0054,0.005
2016-05-31,7,-0.03054,0.2857,-0.2143,0.01309,US,US,KR,0.0,0.0,0.0,-0.0066,0.0009,0.0009,0.0009,-0.0066,-0.0028
2016-06-30,7,-0.03435,0.2857,-0.2143,0.01472,US,US,KR,0.0,0.0,0.0,0.0233,0.0356,0.0356,0.0356,0.0233,0.0294
2016-07-29,7,-0.07056,0.0,-0.5,0.07056,US,US,KR,0.0,0.0,0.0,0.0092,-0.0012,-0.0012,-0.0012,0.0092,0.004
2016-08-31,7,-0.04391,0.1429,-0.3571,0.03137,US,US,KR,0.0,0.0,0.0,0.0044,-0.0012,-0.0012,-0.0012,0.0044,0.0016
2016-09-30,7,-0.03139,0.2857,-0.2143,0.01345,US,US,KR,0.0,0.0,0.0,-0.0173,-0.0194,-0.0194,-0.0194,-0.0173,-0.0184
2016-10-31,7,-0.05085,0.4286,-0.0714,0.00726,US,US,KR,0.0,0.0,0.0,-0.0123,0.0342,0.0342,0.0342,-0.0123,0.0109
2016-11-30,7,-0.10498,0.1429,-0.3571,0.07499,US,US,KR,0.0,0.0,0.0,0.0217,0.0182,0.0182,0.0182,0.0217,0.0199
2016-12-30,7,-0.07674,0.1429,-0.3571,0.05482,US,US,KR,0.0,0.0,0.0,0.0204,0.0179,0.0179,0.0179,0.0204,0.0192
2017-01-31,7,-0.0796,0.1429,-0.3571,0.05685,US,US,KR,0.0,0.0,0.0,0.0116,0.0372,0.0372,0.0372,0.0116,0.0244
2017-02-28,7,-0.06041,0.1429,-0.3571,0.04315,US,US,KR,0.0,0.0,0.0,0.0328,-0.0004,-0.0004,-0.0004,0.0328,0.0162
2017-03-31,7,-0.03395,0.2857,-0.2143,0.01455,US,US,KR,0.0,0.0,0.0,0.0209,0.0091,0.0091,0.0091,0.0209,0.015
2017-04-28,7,-0.02197,0.2857,-0.2143,0.00942,US,US,KR,0.0,0.0,0.0,0.0644,0.0116,0.0116,0.0116,0.0644,0.038
2017-05-31,7,0.08354,1.0,0.5,0.08354,KR,KR,KR,0.003,0.003,0.0,0.0189,0.0048,0.0159,0.0159,0.0189,0.0119
2017-06-30,7,0.04867,0.7143,0.2143,0.02086,KR,KR,KR,0.0,0.0,0.0,0.0046,0.0193,0.0046,0.0046,0.0046,0.012
2017-07-31,7,0.03882,0.5714,0.0714,0.00555,KR,KR,KR,0.0,0.0,0.0,-0.0164,0.0005,-0.0164,-0.0164,-0.0164,-0.008
2017-08-31,7,0.01953,0.4286,-0.0714,-0.00279,KR,KR,KR,0.0,0.0,0.0,0.0132,0.0193,0.0132,0.0132,0.0132,0.0163
2017-09-29,7,-0.02064,0.4286,-0.0714,0.00295,US,KR,KR,0.003,0.0,0.0,0.0539,0.0222,0.0192,0.0539,0.0539,0.038
2017-10-31,7,0.03109,0.7143,0.2143,0.01332,KR,KR,KR,0.003,0.0,0.0,-0.0186,0.0281,-0.0216,-0.0186,-0.0186,0.0047
2017-11-30,7,-0.04048,0.1429,-0.3571,0.02891,US,US,KR,0.003,0.003,0.0,-0.0036,0.0098,0.0068,0.0068,-0.0036,0.0031
2017-12-29,7,-0.03795,0.1429,-0.3571,0.0271,US,US,KR,0.0,0.0,0.0,0.035,0.0562,0.0562,0.0562,0.035,0.0456
2018-01-31,7,-0.03793,0.2857,-0.2143,0.01625,US,US,KR,0.0,0.0,0.0,-0.0542,-0.0389,-0.0389,-0.0389,-0.0542,-0.0466
2018-02-28,7,-0.05062,0.2857,-0.2143,0.02169,US,US,KR,0.0,0.0,0.0,0.0076,-0.0269,-0.0269,-0.0269,0.0076,-0.0096
2018-03-30,7,0.00321,0.5714,0.0714,0.00046,US,US,KR,0.0,0.0,0.0,0.0284,0.0256,0.0256,0.0256,0.0284,0.027
2018-04-30,7,-0.01837,0.2857,-0.2143,0.00787,US,US,KR,0.0,0.0,0.0,-0.0367,0.0216,0.0216,0.0216,-0.0367,-0.0076
2018-05-31,7,-0.06409,0.1429,-0.3571,0.04578,US,US,KR,0.0,0.0,0.0,-0.04,0.0048,0.0048,0.0048,-0.04,-0.0176
2018-06-29,7,-0.08853,0.1429,-0.3571,0.06324,US,US,KR,0.0,0.0,0.0,-0.0133,0.036,0.036,0.036,-0.0133,0.0114
2018-07-31,8,-0.09903,0.125,-0.375,0.07427,US,US,KR,0.0,0.0,0.0,0.012,0.0303,0.0303,0.0303,0.012,0.0211
2018-08-31,8,-0.07523,0.0,-0.5,0.07523,US,US,KR,0.0,0.0,0.0,0.0087,0.0043,0.0043,0.0043,0.0087,0.0065
2018-09-28,8,-0.05018,0.25,-0.25,0.02509,US,US,KR,0.0,0.0,0.0,-0.1337,-0.0694,-0.0694,-0.0694,-0.1337,-0.1016
2018-10-31,8,-0.11064,0.125,-0.375,0.08298,US,US,KR,0.0,0.0,0.0,0.0331,0.0179,0.0179,0.0179,0.0331,0.0255
2018-11-30,8,-0.0204,0.25,-0.25,0.0102,US,US,KR,0.0,0.0,0.0,-0.0266,-0.0918,-0.0918,-0.0918,-0.0266,-0.0592
2018-12-31,8,0.05207,0.75,0.25,0.02604,KR,KR,KR,0.003,0.003,0.0,0.0969,0.0787,0.0939,0.0939,0.0969,0.0878
2019-01-31,8,0.02207,0.75,0.25,0.01103,KR,KR,KR,0.0,0.0,0.0,-0.0043,0.0297,-0.0043,-0.0043,-0.0043,0.0127
2019-02-28,8,0.00705,0.75,0.25,0.00353,KR,KR,KR,0.0,0.0,0.0,-0.0249,0.0179,-0.0249,-0.0249,-0.0249,-0.0035
2019-03-29,8,-0.07311,0.0,-0.5,0.07311,US,US,KR,0.003,0.003,0.0,0.0294,0.0393,0.0363,0.0363,0.0294,0.0344
2019-04-30,8,-0.0318,0.25,-0.25,0.0159,US,US,KR,0.0,0.0,0.0,-0.0734,-0.0658,-0.0658,-0.0658,-0.0734,-0.0696
2019-05-31,8,-0.03373,0.25,-0.25,0.01687,US,US,KR,0.0,0.0,0.0,0.0435,0.0689,0.0689,0.0689,0.0435,0.0562
2019-06-28,8,-0.08479,0.0,-0.5,0.08479,US,US,KR,0.0,0.0,0.0,-0.0498,0.0131,0.0131,0.0131,-0.0498,-0.0183
2019-07-31,8,-0.11539,0.0,-0.5,0.11539,US,US,KR,0.0,0.0,0.0,-0.028,-0.0181,-0.0181,-0.0181,-0.028,-0.0231
2019-08-30,8,-0.08234,0.125,-0.375,0.06175,US,US,KR,0.0,0.0,0.0,0.0484,0.0172,0.0172,0.0172,0.0484,0.0328
