as_of,signal,ws,vix,stress,disp,low_disp,kr_ldrshp,us_ldrshp,ldr_break,kr_w,us_w,hold_w,cost,kr_return,us_return,blend_return,strategy_return,pair_0_weight,pair_0_vote,pair_0_score,pair_0_rs,pair_1_weight,pair_1_vote,pair_1_score,pair_1_rs,pair_2_weight,pair_2_vote,pair_2_score,pair_3_weight,pair_3_vote,pair_3_score,pair_4_weight,pair_4_vote,pair_4_score,pair_4_rs,pair_5_weight,pair_5_vote,pair_5_score,pair_5_rs,pair_6_weight,pair_6_vote,pair_6_score,pair_6_rs,pair_7_weight,pair_7_vote,pair_7_score,pair_2_rs,pair_3_rs,pair_7_rs
2024-09-30,US,-0.6715,16.73,False,0.07597,False,,,False,0.058,0.942,0.0,0.0,-0.0143,-0.0099,-0.0121,-0.0099,0.1442,US,-0.7961,-0.1473,0.0577,US,-0.7219,-0.0259,0.0577,KR,0.3199,0.1442,US,-0.6637,0.1923,US,-0.4579,-0.00873,0.1154,US,-0.7992,-0.15017,0.0962,US,-0.6835,-0.02153,0.1923,US,-0.9975,0.10013,-0.01977,-0.07234
2024-10-31,US,-0.6857,23.16,False,0.08002,False,,,False,0.042,0.801,0.157,0.0,-0.0392,0.0573,0.009,0.0573,0.1394,US,-0.9904,-0.15734,0.0836,US,-0.9849,-0.04522,0.0418,KR,0.4,0.1568,Hold,0.0737,0.1742,US,-0.9878,-0.0552,0.1254,US,-0.4045,-0.11652,0.1045,US,-0.9622,-0.03584,0.1742,US,-0.977,0.12862,0.01266,-0.05115
2024-11-29,US,-0.7178,13.51,False,0.09982,False,,,False,0.0,1.0,0.0,0.0,-0.023,-0.025,-0.024,-0.025,0.152,US,-0.8,-0.27153,0.1094,US,-0.3971,-0.09475,0.0304,US,-0.5215,0.1368,US,-0.7999,0.152,US,-0.8,-0.24922,0.1459,US,-0.758,-0.23874,0.1216,US,-0.7952,-0.05467,0.152,US,-0.6492,-0.01106,-0.15207,-0.01861
2024-12-31,US,-0.7237,17.35,False,0.09673,False,,,False,0.033,0.967,0.0,0.0,0.0494,0.027,0.0382,0.027,0.1639,US,-0.7912,-0.18872,0.0984,US,-0.7999,-0.09106,0.0328,KR,0.4,0.1475,US,-0.7998,0.1639,US,-0.8,-0.14747,0.1311,US,-0.5497,-0.18354,0.0984,US,-0.786,-0.04372,0.1639,US,-0.7923,0.13332,-0.08448,-0.05129
2025-01-31,US,-0.7968,16.43,False,0.03845,False,,,False,0.0,1.0,0.0,0.0,0.0061,-0.0142,-0.0041,-0.0142,0.1504,US,-0.9677,-0.1091,0.1128,US,-0.9199,-0.08513,0.0376,US,-0.4579,0.1353,US,-0.8762,0.1504,US,-0.9825,-0.04714,0.1504,US,-0.4143,-0.11746,0.1128,US,-0.4946,-0.03037,0.1504,US,-0.9705,-0.00822,-0.02335,-0.03839
2025-02-28,US,-0.7953,19.63,False,0.05929,False,,,False,0.112,0.888,0.0,0.0,-0.0204,-0.0575,-0.039,-0.0575,0.1402,US,-0.9973,-0.06742,0.1402,US,-0.9992,-0.1023,0.0467,US,-0.8693,0.1121,KR,0.4,0.1402,US,-0.9744,-0.04029,0.1402,US,-0.9904,-0.05976,0.1402,US,-0.9864,-0.0464,0.1402,US,-0.7559,-0.02273,0.11131,-0.01555
2025-03-31,KR,0.2064,22.28,False,0.07923,False,,,False,0.675,0.325,0.0,0.003,0.0304,-0.0076,0.0114,0.0274,0.1299,KR,0.768,0.02963,0.1299,US,-0.3122,-0.0382,0.0649,US,-0.8,0.1558,KR,0.3185,0.1299,US,-0.7999,-0.16404,0.1299,KR,0.9941,0.07105,0.1299,KR,0.4016,0.00871,0.1299,KR,0.5557,-0.11679,0.06639,0.00836
2025-04-30,KR,0.4718,24.7,False,0.06214,False,,,False,0.776,0.224,0.0,0.0,0.0552,0.0615,0.0583,0.0552,0.1493,US,-0.3197,-0.07572,0.0746,KR,0.7937,0.0534,0.0746,US,-0.7262,0.1791,KR,0.7864,0.0746,KR,0.244,0.00015,0.1493,KR,0.7905,0.04764,0.1493,KR,0.7956,0.0878,0.1493,KR,0.7949,-0.0395,0.12616,0.05389
2025-05-30,Neutral,0.1455,18.57,False,0.05898,False,,,False,0.706,0.294,0.0,0.003,0.1386,0.0496,0.0941,0.0911,0.1961,US,-0.5345,-0.00782,0.0588,KR,0.4331,0.11526,0.1961,KR,0.6942,0.1961,KR,0.3997,0.0588,KR,0.4,0.1117,0.098,KR,0.3945,0.03332,0.098,KR,0.4008,0.15279,0.098,US,-0.9296,0.05422,0.07471,-0.02949
2025-06-30,KR,0.1712,16.73,False,0.0775,False,,,False,0.8,0.2,0.0,0.003,0.0566,0.0217,0.0391,0.0536,0.1333,KR,0.399,0.07209,0.0667,KR,0.32,0.19272,0.2,US,-0.5269,0.2,KR,0.32,0.0667,KR,0.3205,0.17942,0.1333,KR,0.3148,0.05336,0.1333,KR,0.4,0.24207,0.0667,KR,0.32,-0.01132,0.14138,0.11995
2025-07-31,KR,0.3444,16.72,False,0.06275,False,,,False,1.0,0.0,0.0,0.0,-0.0183,0.0191,0.0004,-0.0183,0.1429,KR,0.3307,0.02954,0.0952,KR,0.32,0.15597,0.0952,KR,0.4,0.1905,KR,0.4,0.0952,KR,0.3303,0.15639,0.1429,KR,0.3936,0.05379,0.1429,KR,0.32,0.19701,0.0952,KR,0.2,0.11703,0.15506,0.02081
2025-08-29,KR,0.2467,15.36,False,0.05107,False,,,False,0.81,0.095,0.095,0.0,0.0749,0.0353,0.0551,0.0749,0.1429,KR,0.3045,0.04263,0.0952,KR,0.4,0.10451,0.0952,US,-0.5602,0.1905,KR,0.3013,0.0952,KR,0.3055,0.04332,0.1429,KR,0.5619,0.02225,0.1429,KR,0.32,0.15744,0.0952,Hold,0.0629,-0.013,0.04074,0.01211
2025-09-30,Neutral,0.1457,16.28,False,0.07514,False,,,False,0.758,0.242,0.0,0.003,0.1994,0.0227,0.111,0.108,0.1515,KR,0.3971,0.06161,0.1136,KR,0.4,0.11043,0.0758,KR,0.389,0.1515,KR,0.3192,0.1136,KR,0.3833,0.07864,0.1515,US,-0.3387,-0.08833,0.1515,KR,0.4018,0.12307,0.0909,US,-0.9994,0.04608,0.07191,-0.07758
2025-10-31,KR,0.4443,17.44,False,0.09994,False,,,False,0.956,0.0,0.044,0.003,-0.044,0.0013,-0.0214,-0.047,0.1471,KR,0.4001,0.31562,0.1471,KR,0.4033,0.10469,0.1103,KR,0.3687,0.1471,KR,0.4,0.1471,KR,0.4,0.24965,0.1103,KR,0.5294,0.05148,0.1471,KR,0.7826,0.12497,0.0441,Hold,-0.1282,0.03778,0.11074,0.00501
2025-11-28,KR,0.2002,16.35,False,0.09545,False,,,False,0.863,0.137,0.0,0.0,0.0732,-0.0005,0.0364,0.0732,0.1176,KR,0.32,0.28626,0.1569,KR,0.32,0.10485,0.0784,US,-0.5299,0.1569,KR,0.1945,0.1569,KR,0.32,0.12233,0.1176,KR,0.585,0.07225,0.1569,KR,0.3202,0.1237,0.0588,US,-0.7787,-0.01146,0.0207,-0.03947
2025-12-31,KR,0.1862,14.95,False,0.10271,False,,,False,0.784,0.059,0.157,0.0,0.2123,0.0137,0.113,0.2123,0.1569,KR,0.4,0.29898,0.1569,KR,0.2776,0.03234,0.0392,KR,0.2366,0.1569,KR,0.1655,0.1569,KR,0.3187,0.0607,0.1176,KR,0.32,0.13593,0.1569,Hold,0.0254,0.0103,0.0588,US,-0.7982,0.02477,0.01833,-0.0644
2026-01-30,KR,0.2234,17.44,False,0.15485,False,,,False,0.762,0.159,0.079,0.0,0.1952,-0.0087,0.0933,0.1952,0.1587,KR,0.4012,0.48163,0.1587,KR,0.4007,0.15456,0.0794,Hold,-0.0484,0.1587,KR,0.4,0.1587,US,-0.477,-0.00598,0.119,KR,0.4,0.26936,0.1429,KR,0.3925,0.05221,0.0238,KR,0.3585,0.00752,0.11592,0.03488
2026-02-27,KR,0.2874,19.86,False,0.22045,False,,,False,0.849,0.0,0.151,0.0,-0.1908,-0.0509,-0.1209,-0.1908,0.1577,KR,0.32,0.66178,0.1577,KR,0.4,0.33306,0.0757,KR,0.3984,0.1577,KR,0.32,0.1262,KR,0.4,0.12977,0.1262,KR,0.32,0.47666,0.1514,Hold,-0.1045,0.00494,0.0473,KR,0.3841,0.06775,0.13244,0.04464
2026-03-31,Neutral,-0.033,25.25,False,0.13577,False,,,False,0.575,0.253,0.172,0.003,0.2644,0.082,0.1732,0.1702,0.1533,KR,0.4,0.275,0.1533,KR,0.32,0.16066,0.092,US,-0.7873,0.1533,KR,0.32,0.1149,US,-1.0,-0.19124,0.1149,KR,0.32,0.1255,0.1724,Hold,-0.1353,0.00479,0.046,US,-0.4029,-0.04472,0.13588,-0.00296
