as_of,signal,ws,vix,kr_w,us_w,hold_w,cost,kr_return,us_return,blend_return,strategy_return,pair_0_weight,pair_0_vote,pair_0_score,pair_0_rs,pair_0_macro,pair_1_weight,pair_1_vote,pair_1_score,pair_1_rs,pair_1_macro,pair_2_weight,pair_2_vote,pair_2_score,pair_3_weight,pair_3_vote,pair_3_score,pair_4_weight,pair_4_vote,pair_4_score,pair_4_rs,pair_4_macro,pair_5_weight,pair_5_vote,pair_5_score,pair_5_rs,pair_5_macro,pair_6_weight,pair_6_vote,pair_6_score,pair_6_rs,pair_6_macro,pair_7_weight,pair_7_vote,pair_7_score,pair_2_rs,pair_2_macro,pair_3_rs,pair_3_macro,pair_7_rs,pair_7_macro
2018-05-31,US,-0.4772,15.43,0.125,0.75,0.0,0.003,-0.04,0.0048,-0.0176,0.0018,0.125,US,-0.7957,-0.05736,0.0,0.125,US,-0.4794,-0.08132,-0.4053,0.125,US,-0.6997,0.125,US,-0.7301,0.125,US,-0.3954,-0.15502,0.0,0.125,US,-0.8585,-0.13553,-0.3095,0.125,KR,0.6187,0.03242,0.4276,0.125,,,-0.02394,0.0,-0.02783,0.0,,
2018-06-29,US,-0.5501,16.09,0.125,0.75,0.0,0.0,-0.0133,0.036,0.0114,0.036,0.125,US,-0.6377,-0.09366,0.0,0.125,US,-0.853,-0.04928,-0.3185,0.125,US,-0.8,0.125,US,-0.7971,0.125,US,-0.61,-0.15695,0.0,0.125,US,-0.5828,-0.16853,0.3452,0.125,KR,0.4299,0.03334,0.3722,0.125,,,-0.12423,0.0,-0.0604,0.0,,
2018-07-31,US,-0.5001,12.83,0.125,0.875,0.0,0.0,0.012,0.0303,0.0211,0.0303,0.125,US,-0.697,-0.07149,0.0,0.125,US,-0.8508,-0.09707,-0.2821,0.125,US,-0.8,0.125,US,-0.6106,0.125,US,-0.433,-0.09323,0.0,0.125,US,-0.64,-0.12192,-0.0,0.125,US,-0.6885,-0.07251,0.615,0.125,KR,0.7188,-0.20316,0.0,-0.1591,0.0,0.02625,0.0
2018-08-31,US,-0.6164,12.86,0.0,1.0,0.0,0.0,0.0087,0.0043,0.0065,0.0043,0.125,US,-0.7996,-0.07944,0.0,0.125,US,-0.6405,-0.07949,-0.2355,0.125,US,-0.798,0.125,US,-0.6308,0.125,US,-0.3911,-0.08001,0.0,0.125,US,-0.4469,-0.13614,0.2729,0.125,US,-0.6798,-0.06222,0.6132,0.125,US,-0.5448,-0.06392,0.0,-0.08711,0.0,-0.01351,0.0
2018-09-28,US,-0.4687,12.12,0.125,0.75,0.125,0.0,-0.1337,-0.0694,-0.1016,-0.0694,0.125,US,-0.799,-0.12422,0.0,0.125,Hold,-0.0967,0.00508,-0.2355,0.125,US,-0.7716,0.125,US,-0.64,0.125,US,-0.773,-0.06655,0.0,0.125,US,-0.5457,-0.08069,0.664,0.125,US,-0.6297,-0.03745,0.6573,0.125,KR,0.506,-0.03719,0.0,-0.11065,0.0,0.05027,0.0
2018-10-31,US,-0.4961,21.23,0.125,0.875,0.0,0.0,0.0331,0.0179,0.0255,0.0179,0.125,US,-0.3209,-0.13054,0.0,0.125,US,-0.8001,-0.0645,-0.2729,0.125,US,-0.8,0.125,US,-0.6201,0.125,KR,0.1335,0.01171,0.0,0.125,US,-0.4903,-0.15215,-0.6044,0.125,US,-0.8237,-0.20051,-0.1224,0.125,US,-0.247,-0.24152,0.0,-0.08267,0.0,-0.02491,0.0
2018-11-30,US,-0.2101,18.07,0.25,0.75,0.0,0.0,-0.0266,-0.0918,-0.0592,-0.0918,0.125,US,-0.295,-0.02344,0.0,0.125,US,-0.3366,-0.04075,-0.207,0.125,US,-0.64,0.125,US,-0.3678,0.125,KR,0.7977,0.06273,0.0,0.125,US,-0.8996,-0.06997,-0.9354,0.125,US,-0.7392,-0.06884,0.1906,0.125,KR,0.8,-0.15047,0.0,-0.01205,0.0,0.13962,0.0
2018-12-31,KR,0.3985,25.42,0.75,0.0,0.25,0.003,0.0969,0.0787,0.0878,0.0939,0.125,Hold,0.043,-0.00496,0.0,0.125,KR,0.5683,0.03165,-0.207,0.125,Hold,-0.0282,0.125,KR,0.64,0.125,KR,0.64,0.14235,0.0,0.125,KR,0.5132,0.05263,-0.9995,0.125,KR,0.1717,0.00358,-0.4945,0.125,KR,0.6399,-0.00827,0.0,0.10121,0.0,0.09838,0.0
2019-01-31,KR,0.3986,16.57,0.75,0.25,0.0,0.0,-0.0043,0.0297,0.0127,-0.0043,0.125,KR,0.7651,0.05153,0.0,0.125,US,-0.1091,-0.0079,-0.1781,0.125,KR,0.2735,0.125,KR,0.7821,0.125,KR,0.7859,0.04555,0.0,0.125,KR,0.4066,0.04218,-0.8076,0.125,KR,0.6019,0.01279,0.3302,0.125,US,-0.3169,0.01648,0.0,0.04188,0.0,-0.02599,0.0
2019-02-28,Neutral,0.0173,14.78,0.375,0.25,0.375,0.003,-0.0249,0.0179,-0.0035,-0.0065,0.125,US,-0.7548,-0.03241,0.0,0.125,Hold,-0.0594,0.00383,-0.207,0.125,Hold,-0.0551,0.125,Hold,-0.0815,0.125,KR,0.6217,0.04756,0.0,0.125,KR,0.5244,0.04293,0.5784,0.125,KR,0.2101,0.01457,0.4792,0.125,US,-0.2668,0.00492,0.0,0.00321,0.0,-0.02819,0.0
2019-03-29,US,-0.5932,13.71,0.0,1.0,0.0,0.003,0.0294,0.0393,0.0344,0.0363,0.125,US,-0.7654,-0.04597,0.0,0.125,US,-0.6358,-0.06016,-0.1391,0.125,US,-0.7739,0.125,US,-0.6282,0.125,US,-0.368,-0.06128,0.0,0.125,US,-0.5178,-0.06963,0.9895,0.125,US,-0.698,-0.07326,0.5574,0.125,US,-0.3583,-0.15223,0.0,-0.0662,0.0,-0.05615,0.0
2019-04-30,US,-0.3321,13.12,0.25,0.75,0.0,0.0,-0.0734,-0.0658,-0.0696,-0.0658,0.125,US,-0.7992,-0.07327,0.0,0.125,US,-0.6611,-0.06857,-0.2355,0.125,KR,0.3852,0.125,US,-0.3167,0.125,US,-0.3933,-0.04093,0.0,0.125,KR,0.2135,0.00991,0.8511,0.125,US,-0.5899,-0.02366,0.5967,0.125,US,-0.4954,0.03194,0.0,-0.02573,0.0,-0.06412,0.0
2019-05-31,US,-0.276,18.71,0.25,0.75,0.0,0.0,0.0435,0.0689,0.0562,0.0689,0.125,US,-0.5263,-0.05279,0.0,0.125,KR,0.2345,0.00272,-0.1877,0.125,US,-0.6387,0.125,KR,0.4826,0.125,US,-0.1755,-0.00616,0.0,0.125,US,-0.5021,-0.00828,-0.8717,0.125,US,-0.7641,-0.09629,0.1283,0.125,US,-0.3181,-0.06623,0.0,0.01368,0.0,-0.05648,0.0
2019-06-28,US,-0.4624,15.08,0.0,1.0,0.0,0.0,-0.0498,0.0131,-0.0183,0.0131,0.125,US,-0.4243,-0.06174,0.0,0.125,US,-0.4949,-0.0744,-0.2449,0.125,US,-0.7999,0.125,US,-0.4021,0.125,US,-0.4001,-0.08351,0.0,0.125,US,-0.4517,-0.05714,0.02,0.125,US,-0.3266,-0.14052,0.4558,0.125,US,-0.3994,-0.10354,0.0,-0.08184,0.0,-0.07559,0.0
2019-07-31,US,-0.7199,16.12,0.0,1.0,0.0,0.0,-0.028,-0.0181,-0.0231,-0.0181,0.125,US,-0.8,-0.12009,0.0,0.125,US,-0.8247,-0.11014,-0.1293,0.125,US,-0.8,0.125,US,-0.7733,0.125,US,-0.638,-0.06186,0.0,0.125,US,-0.8723,-0.11233,-0.3799,0.125,US,-0.7279,-0.17029,0.3696,0.125,US,-0.3229,-0.23107,0.0,-0.05956,0.0,-0.05779,0.0
2019-08-30,US,-0.2097,18.98,0.125,0.75,0.125,0.0,0.0484,0.0172,0.0328,0.0172,0.125,US,-0.3218,-0.0786,0.0,0.125,US,-0.3205,-0.11589,-0.0,0.125,US,-0.64,0.125,Hold,-0.0456,0.125,US,-0.1705,-0.0162,0.0,0.125,US,-0.2527,-0.08071,0.4462,0.125,US,-0.3042,-0.18209,0.1016,0.125,KR,0.3778,-0.18219,0.0,-0.00914,0.0,0.00611,0.0
2019-09-30,US,-0.4423,16.24,0.125,0.875,0.0,0.0,0.0099,0.0204,0.0152,0.0204,0.125,US,-0.7621,-0.039,0.0,0.125,US,-0.6478,-0.09276,-0.05,0.125,US,-0.64,0.125,US,-0.468,0.125,US,-0.5419,-0.03506,0.0,0.125,US,-0.2416,-0.0247,0.0997,0.125,US,-0.5778,-0.10784,0.3592,0.125,KR,0.3404,-0.10049,0.0,-0.01534,0.0,0.00799,0.0
2019-10-31,US,-0.2816,13.22,0.375,0.625,0.0,0.0,0.0022,0.034,0.0181,0.034,0.125,US,-0.4043,-0.0347,0.0,0.125,US,-0.8331,-0.10414,-0.1684,0.125,KR,0.2889,0.125,US,-0.7298,0.125,KR,0.7215,0.03984,0.0,0.125,US,-0.8717,-0.05499,-0.4136,0.125,US,-0.6924,-0.06632,0.5902,0.125,KR,0.2678,0.02282,0.0,-0.03436,0.0,0.01489,0.0
2019-11-29,US,-0.4904,12.62,0.0,0.875,0.125,0.0,0.0525,0.0256,0.0391,0.0256,0.125,US,-0.6382,-0.06282,0.0,0.125,US,-0.6665,-0.08584,-0.1684,0.125,US,-0.6349,0.125,US,-0.6341,0.125,Hold,-0.0723,-0.01056,0.0,0.125,US,-0.6043,-0.04246,0.1391,0.125,US,-0.2991,-0.01034,0.6279,0.125,US,-0.3738,-0.05224,0.0,-0.09335,0.0,-0.00596,0.0
2019-12-31,US,-0.3715,13.78,0.0,1.0,0.0,0.0,-0.0258,-0.0099,-0.0179,-0.0099,0.125,US,-0.4542,-0.01427,0.0,0.125,US,-0.6904,-0.08452,-0.3275,0.125,US,-0.1141,0.125,US,-0.3404,0.125,US,-0.213,-0.0197,0.0,0.125,US,-0.4907,-0.03918,0.6858,0.125,US,-0.5462,-0.04349,0.5525,0.125,US,-0.1229,0.00192,0.0,-0.05369,0.0,0.00154,0.0
2020-01-31,US,-0.5629,18.84,0.0,0.875,0.125,0.0,-0.0623,-0.0841,-0.0732,-0.0841,0.125,US,-0.705,-0.02948,0.0,0.125,US,-0.8327,-0.11413,-0.1781,0.125,US,-0.6146,0.125,US,-0.7986,0.125,US,-0.1026,0.00327,0.0,0.125,US,-0.7516,-0.0634,0.2355,0.125,US,-0.7762,-0.07276,0.1155,0.125,Hold,0.0778,-0.017,0.0,-0.11512,0.0,0.0097,0.0
2020-02-28,Neutral,-0.0386,40.11,0.5,0.5,0.0,0.003,-0.1169,-0.1251,-0.121,-0.124,0.125,KR,0.5914,0.02426,0.0,0.125,US,-0.4663,-0.07128,-0.2636,0.125,KR,0.3826,0.125,US,-0.5237,0.125,KR,0.7707,0.10317,0.0,0.125,US,-0.9431,-0.07801,-0.9705,0.125,US,-0.9002,-0.03652,-0.9648,0.125,KR,0.7799,0.04005,0.0,-0.11119,0.0,0.04487,0.0
2020-03-31,Neutral,0.0108,53.54,0.375,0.625,0.0,0.0,0.1099,0.1268,0.1184,0.1184,0.125,US,-0.3179,-0.0576,0.0,0.125,US,-0.2667,-0.01944,-0.4382,0.125,KR,0.6161,0.125,US,-0.3198,0.125,KR,0.6391,0.34371,0.0,0.125,US,-0.4652,-0.12218,-1.0,0.125,US,-0.4387,-0.05763,-0.9976,0.125,KR,0.6396,0.18621,0.0,-0.07264,0.0,0.07906,0.0
2020-04-30,KR,0.2412,34.15,0.75,0.25,0.0,0.003,0.0708,0.0453,0.0581,0.0678,0.125,US,-0.2651,-0.06568,0.3728,0.125,KR,0.4604,0.03081,-0.4136,0.125,KR,0.296,0.125,KR,0.555,0.125,KR,0.5182,0.12154,-0.9991,0.125,US,-0.6177,-0.12294,-1.0,0.125,KR,0.447,0.06424,-0.8886,0.125,KR,0.5356,0.07615,-0.3728,0.03888,-0.4106,0.07716,-0.7389
2020-05-29,Neutral,0.0457,27.51,0.625,0.375,0.0,0.003,0.0388,0.0184,0.0286,0.0256,0.125,US,-0.7157,-0.0485,0.0712,0.125,US,-0.1415,-0.00913,-0.4542,0.125,KR,0.3913,0.125,KR,0.732,0.125,KR,0.659,0.19568,-0.874,0.125,US,-0.9471,-0.11911,-0.9973,0.125,KR,0.1322,0.00398,-0.6357,0.125,KR,0.2557,0.08912,-0.0712,0.03555,-0.1712,0.11481,-0.9175
2020-06-30,Neutral,-0.0904,30.43,0.375,0.625,0.0,0.0,0.0669,0.0551,0.061,0.061,0.125,US,-0.7134,-0.07613,-0.5382,0.125,US,-0.418,-0.04267,-0.4621,0.125,KR,0.399,0.125,US,-0.2327,0.125,KR,0.7618,0.21633,0.9996,0.125,US,-0.5176,-0.11981,0.9999,0.125,US,-0.2229,0.00171,-0.7791,0.125,KR,0.2208,0.25895,0.5382,-0.06175,0.7397,0.1384,-0.9735
2020-07-31,US,-0.125,24.46,0.375,0.625,0.0,0.003,0.0341,0.0701,0.0521,0.0671,0.125,US,-0.5347,-0.04244,-0.957,0.125,US,-0.3051,-0.01307,-0.4136,0.125,KR,0.5486,0.125,US,-0.1998,0.125,KR,0.7619,0.29596,1.0,0.125,US,-0.6455,-0.06359,0.9999,0.125,US,-0.8751,-0.06083,-0.4186,0.125,KR,0.2496,0.18117,0.957,-0.02842,0.9325,0.13622,-0.9788
2020-08-31,US,-0.2768,26.41,0.375,0.625,0.0,0.0,0.0007,-0.0392,-0.0192,-0.0392,0.125,US,-0.9498,-0.14843,-0.9705,0.125,US,-0.6316,-0.01264,-0.5227,0.125,KR,0.5498,0.125,US,-0.5213,0.125,KR,0.5398,0.37826,0.8651,0.125,US,-0.5607,-0.02544,0.9954,0.125,US,-0.892,-0.04741,-0.5656,0.125,KR,0.2514,0.23536,0.9705,-0.09112,0.9532,0.11504,-0.9876
2020-09-30,KR,0.3615,26.37,0.75,0.125,0.125,0.003,-0.0385,-0.0277,-0.0331,-0.0415,0.125,Hold,0.017,-0.00141,-0.833,0.125,KR,0.6267,0.02645,-0.508,0.125,KR,0.416,0.125,KR,0.4263,0.125,KR,0.6317,0.28803,0.1892,0.125,KR,0.4584,0.0549,0.968,0.125,US,-0.1694,-0.00887,-0.5629,0.125,KR,0.4848,0.04263,0.833,0.00748,0.7327,0.08097,-0.9719
2020-10-30,Neutral,0.0843,38.02,0.625,0.25,0.125,0.003,0.143,0.1075,0.1253,0.1223,0.125,KR,0.1522,-0.00389,0.3501,0.125,KR,0.3247,0.04847,-0.6291,0.125,KR,0.3289,0.125,Hold,0.0367,0.125,KR,0.6923,0.30346,-0.59,0.125,KR,0.3462,0.03639,-0.2165,0.125,US,-0.7956,-0.03405,-0.947,0.125,US,-0.4107,0.04429,-0.3501,-0.00446,-0.0309,-0.02223,-0.7193
2020-11-30,Neutral,0.0686,20.57,0.5,0.5,0.0,0.0,0.1089,0.0371,0.073,0.073,0.125,KR,0.6917,0.05063,-0.1785,0.125,US,-0.3434,-0.01776,-0.5915,0.125,KR,0.4377,0.125,US,-0.1959,0.125,KR,0.8636,0.16405,0.3292,0.125,KR,0.5738,0.04161,0.8717,0.125,US,-0.6775,-0.04755,-0.0569,0.125,US,-0.8011,0.14142,0.1785,-0.0046,0.4555,-0.0645,-0.0978
2020-12-31,KR,0.168,22.75,0.75,0.25,0.0,0.003,0.0108,-0.0111,-0.0002,0.0078,0.125,KR,0.2581,0.17422,-0.8859,0.125,US,-0.726,-0.04921,-0.664,0.125,KR,0.5359,0.125,KR,0.4257,0.125,KR,0.7524,0.11679,0.8727,0.125,KR,0.5518,0.08671,0.9959,0.125,KR,0.3021,0.03234,-0.2683,0.125,US,-0.7563,0.05305,0.8859,0.05536,0.8373,-0.05428,0.1725
2021-01-29,KR,0.1237,33.09,0.75,0.25,0.0,0.0,0.0123,0.0261,0.0192,0.0123,0.125,KR,0.2637,0.22187,-0.8323,0.125,US,-0.8925,-0.11008,-0.7616,0.125,US,-0.6615,0.125,KR,0.4275,0.125,KR,0.6566,0.20667,0.9932,0.125,KR,0.5518,0.17703,0.9942,0.125,KR,0.2566,0.05758,-0.864,0.125,KR,0.3872,-0.0633,0.8323,0.12821,0.8137,0.04001,0.0116
2021-02-26,Neutral,-0.055,27.95,0.5,0.375,0.125,0.003,0.0161,0.0424,0.0293,0.0263,0.125,KR,0.3273,0.15862,-0.3818,0.125,US,-0.9389,-0.13147,-0.8617,0.125,US,-0.7271,0.125,KR,0.5133,0.125,US,-0.5027,-0.11191,0.9839,0.125,KR,0.5456,0.11734,0.9246,0.125,KR,0.2819,0.06256,-0.6612,0.125,Hold,0.061,-0.15451,0.3818,0.11165,0.642,0.01084,-0.1807
2021-03-31,Neutral,0.0591,19.4,0.5,0.5,0.0,0.0,0.0282,0.0524,0.0403,0.0403,0.125,KR,0.6198,0.08202,0.8395,0.125,US,-0.2082,-0.01118,-0.9186,0.125,US,-0.7497,0.125,KR,0.3106,0.125,US,-0.2278,-0.11951,0.895,0.125,KR,0.7353,0.05503,0.7616,0.125,KR,0.2861,0.00569,0.0599,0.125,US,-0.2935,-0.14621,-0.8395,0.09909,-0.0589,-0.00567,-0.1136
2021-04-30,US,-0.3323,18.61,0.25,0.625,0.125,0.003,0.0178,0.0055,0.0116,0.0025,0.125,KR,0.3217,0.01312,0.252,0.125,US,-0.8842,-0.04379,-0.9033,0.125,US,-0.8494,0.125,KR,0.4652,0.125,US,-0.2589,-0.09211,0.8975,0.125,US,-0.5658,-0.06186,0.7699,0.125,Hold,-0.0338,-0.00687,0.1381,0.125,US,-0.8531,-0.14825,-0.252,0.07541,0.342,-0.03052,-0.6523
2021-05-31,Neutral,0.0581,16.76,0.625,0.375,0.0,0.003,0.029,0.0227,0.0258,0.0228,0.125,KR,0.1833,0.00681,-0.302,0.125,US,-0.6324,-0.0193,-0.8937,0.125,US,-0.5931,0.125,KR,0.3968,0.125,US,-0.308,-0.12194,0.5538,0.125,KR,0.5809,0.08848,0.4301,0.125,KR,0.343,0.03593,0.3131,0.125,KR,0.4944,-0.14571,0.302,0.14762,0.5227,0.05914,-0.7281
2021-06-30,Neutral,-0.0732,15.83,0.5,0.5,0.0,0.0,-0.0286,0.0227,-0.0029,-0.0029,0.125,US,-0.8482,-0.05091,-0.2979,0.125,US,-0.2315,-0.00236,-0.8337,0.125,US,-0.5933,0.125,KR,0.3805,0.125,US,-0.2572,-0.0628,0.8727,0.125,KR,0.371,0.0308,0.664,0.125,KR,0.3948,0.01704,0.3944,0.125,KR,0.1986,-0.12987,0.2979,0.11143,0.3855,0.09729,-0.9922
2021-07-30,US,-0.3538,18.24,0.25,0.75,0.0,0.003,-0.001,0.029,0.014,0.026,0.125,US,-0.5898,-0.11671,0.314,0.125,US,-0.5619,-0.0366,-0.7818,0.125,US,-0.6887,0.125,KR,0.2683,0.125,US,-0.2701,-0.08075,0.7715,0.125,US,-0.441,-0.05153,0.04,0.125,US,-0.7651,-0.07965,0.1742,0.125,KR,0.2177,-0.15053,-0.314,0.027,-0.1593,0.01504,-0.9046
2021-08-31,US,-0.4781,16.48,0.25,0.75,0.0,0.0,-0.0408,-0.0476,-0.0442,-0.0476,0.125,US,-0.6735,-0.13987,0.7455,0.125,US,-0.9007,-0.03601,-0.8005,0.125,US,-0.5887,0.125,KR,0.1045,0.125,KR,0.6499,0.01763,0.1287,0.125,US,-0.75,-0.09002,0.2543,0.125,US,-0.7345,-0.08159,0.3381,0.125,US,-0.932,-0.00937,-0.7455,0.01838,-0.5808,-0.04276,-0.9556
2021-09-30,US,-0.389,23.14,0.25,0.75,0.0,0.0,-0.032,0.0691,0.0186,0.0691,0.125,US,-0.6967,-0.09672,0.5686,0.125,US,-0.1248,-0.00634,-0.8455,0.125,US,-0.9025,0.125,KR,0.2537,0.125,KR,0.6607,0.01775,0.175,0.125,US,-0.6276,-0.09911,-0.2165,0.125,US,-0.8462,-0.08222,-0.3041,0.125,US,-0.8285,-0.08361,-0.5686,0.01138,-0.4349,-0.05202,-0.1772
2021-10-29,US,-0.6648,16.26,0.0,1.0,0.0,0.0,-0.0443,-0.0083,-0.0263,-0.0083,0.125,US,-0.6823,-0.17255,0.6751,0.125,US,-0.894,-0.08209,-0.7895,0.125,US,-0.9177,0.125,US,-0.707,0.125,US,-0.2436,-0.17743,0.6662,0.125,US,-0.7433,-0.13691,0.2913,0.125,US,-0.5851,-0.10917,0.3575,0.125,US,-0.5456,-0.16967,-0.6751,-0.16404,-0.446,-0.01276,-0.9056
2021-11-30,US,-0.6666,27.19,0.125,0.875,0.0,0.0,0.0488,0.0436,0.0462,0.0436,0.125,US,-0.5885,-0.13128,0.8342,0.125,US,-0.8894,-0.06843,-0.7211,0.125,US,-0.9365,0.125,US,-0.8754,0.125,US,-0.4569,-0.17058,-0.2894,0.125,US,-0.9032,-0.25761,-0.7699,0.125,US,-0.9091,-0.17786,-0.6163,0.125,KR,0.226,-0.12258,-0.8342,-0.20771,-0.486,0.03802,-0.9759
2021-12-31,US,-0.5349,17.22,0.0,1.0,0.0,0.0,-0.109,-0.0526,-0.0808,-0.0526,0.125,US,-0.2398,-0.07865,0.548,0.125,US,-0.6784,-0.08594,-0.6584,0.125,US,-0.7198,0.125,US,-0.5256,0.125,US,-0.3326,-0.15641,0.0161,0.125,US,-0.3042,-0.12095,0.0997,0.125,US,-0.7221,-0.20605,0.2711,0.125,US,-0.7567,-0.18934,-0.548,-0.12898,-0.0014,-0.06129,-0.9704
2022-01-31,US,-0.6343,24.83,0.0,1.0,0.0,0.0,-0.0032,-0.0314,-0.0173,-0.0314,0.125,US,-0.3733,-0.07573,0.6947,0.125,US,-0.682,-0.03636,-0.5441,0.125,US,-0.9202,0.125,US,-0.697,0.125,US,-0.5837,-0.39374,0.3661,0.125,US,-0.5259,-0.07266,-0.7443,0.125,US,-0.7073,-0.19618,-0.4486,0.125,US,-0.5851,-0.22957,-0.6947,-0.12878,-0.3726,-0.19707,0.2078
2022-02-28,US,-0.3541,30.15,0.25,0.75,0.0,0.0,0.0217,0.0358,0.0287,0.0358,0.125,US,-0.1514,-0.01358,0.2118,0.125,KR,0.232,0.00821,-0.3714,0.125,US,-0.8417,0.125,KR,0.1139,0.125,US,-0.6477,-0.3476,0.9872,0.125,US,-0.4104,-0.03212,-0.2913,0.125,US,-0.928,-0.07734,-0.7678,0.125,US,-0.1991,-0.14599,-0.2118,0.01071,0.0218,-0.04228,0.8108
2022-03-31,US,-0.1288,20.56,0.25,0.75,0.0,0.0,-0.0227,-0.088,-0.0553,-0.088,0.125,US,-0.2797,-0.05509,0.6711,0.125,KR,0.7717,0.04246,-0.04,0.125,US,-0.6787,0.125,US,-0.3659,0.125,US,-0.2002,-0.37306,0.9707,0.125,US,-0.4024,-0.06789,-0.5784,0.125,US,-0.3798,-0.10953,-0.0559,0.125,KR,0.5045,-0.12513,-0.6711,-0.0085,-0.1328,0.01734,0.3458
2022-04-29,KR,0.4049,33.4,0.75,0.25,0.0,0.003,-0.0034,0.0001,-0.0017,-0.0064,0.125,KR,0.9485,0.08069,0.9603,0.125,KR,0.7371,0.12975,-0.1877,0.125,KR,0.43,0.125,KR,0.4236,0.125,US,-0.259,-0.19732,0.8779,0.125,KR,0.6977,0.13327,-0.5649,0.125,US,-0.6636,-0.03211,-0.8717,0.125,KR,0.925,0.02366,-0.9603,0.13347,-0.4057,0.08986,0.7349
2022-05-31,KR,0.1739,26.19,0.625,0.375,0.0,0.0,-0.1315,-0.0839,-0.1077,-0.1315,0.125,KR,0.675,0.02363,0.9399,0.125,KR,0.7391,0.0732,-0.3095,0.125,US,-0.755,0.125,KR,0.6948,0.125,US,-0.2603,-0.24438,0.8649,0.125,KR,0.5417,0.18699,-0.7163,0.125,US,-0.3856,-0.04172,-0.5504,0.125,KR,0.1414,-0.06724,-0.9399,0.15836,-0.5846,-0.00541,0.8245
2022-06-30,US,-0.1194,28.71,0.375,0.625,0.0,0.003,0.051,0.0911,0.071,0.0881,0.125,US,-0.1535,-0.02427,0.982,0.125,KR,0.434,0.00887,-0.0599,0.125,US,-0.9199,0.125,KR,0.4415,0.125,US,-0.432,-0.11783,-0.1613,0.125,KR,0.6476,0.1768,-0.9999,0.125,US,-0.6383,-0.04531,-0.7019,0.125,US,-0.3349,-0.06188,-0.982,0.08577,-0.9401,-0.05936,0.9785
2022-07-29,US,-0.2755,21.33,0.125,0.625,0.25,0.0,0.0084,-0.0424,-0.017,-0.0424,0.125,US,-0.2396,-0.10418,0.7406,0.125,US,-0.7532,-0.08715,0.2165,0.125,Hold,0.0114,0.125,Hold,0.0158,0.125,US,-0.4897,-0.1344,-0.3807,0.125,US,-0.189,-0.00858,-0.9329,0.125,US,-0.7931,-0.03663,-0.1322,0.125,KR,0.2331,0.0128,-0.7406,0.01159,-0.796,0.00043,0.102
2022-08-31,Neutral,-0.0288,25.87,0.375,0.5,0.125,0.003,-0.1281,-0.0934,-0.1107,-0.1137,0.125,Hold,0.066,-0.00842,0.9792,0.125,US,-0.452,-0.04367,0.2913,0.125,KR,0.1239,0.125,KR,0.6474,0.125,US,-0.5195,-0.04005,-0.8771,0.125,KR,0.6366,0.04561,-0.9246,0.125,US,-0.5388,-0.05686,-0.5277,0.125,US,-0.194,0.02146,-0.9792,0.05089,-0.9079,-0.00498,0.743
2022-09-30,US,-0.2018,31.62,0.25,0.625,0.125,0.003,0.0641,0.0799,0.072,0.0769,0.125,KR,0.2463,-0.00046,0.9825,0.125,US,-0.7129,-0.06634,0.3714,0.125,US,-0.9441,0.125,US,-0.5114,0.125,US,-0.4377,-0.12817,-0.918,0.125,KR,0.8209,0.0239,0.7064,0.125,Hold,0.027,0.00658,-0.8217,0.125,US,-0.1023,-0.0804,-0.9825,-0.01244,-0.736,-0.01803,0.7595
2022-10-31,US,-0.3325,25.88,0.125,0.875,0.0,0.0,0.078,0.0538,0.0659,0.0538,0.125,KR,0.8709,0.02688,0.9438,0.125,US,-0.3334,-0.11127,0.3885,0.125,US,-0.6783,0.125,US,-0.5885,0.125,US,-0.8608,-0.20903,-0.6539,0.125,US,-0.1283,-0.01783,0.3799,0.125,US,-0.5241,-0.13598,-0.5285,0.125,US,-0.4171,-0.09861,-0.9438,-0.05081,-0.6526,-0.10384,0.8574
2022-11-30,US,-0.3487,20.58,0.125,0.875,0.0,0.0,-0.0955,-0.059,-0.0772,-0.059,0.125,KR,0.3604,0.01016,-0.6984,0.125,US,-0.3054,-0.04465,0.6044,0.125,US,-0.6665,0.125,US,-0.254,0.125,US,-0.4952,-0.04148,-0.6461,0.125,US,-0.2101,-0.02615,0.6044,0.125,US,-0.5165,-0.01199,-0.0579,0.125,US,-0.7024,-0.11478,0.6984,-0.06104,0.5213,-0.01891,-0.4409
2022-12-30,US,-0.242,21.67,0.125,0.75,0.125,0.0,0.0896,0.0618,0.0757,0.0618,0.125,US,-0.3831,-0.02743,-0.988,0.125,US,-0.5467,-0.03797,0.4854,0.125,US,-0.6464,0.125,US,-0.4399,0.125,US,-0.2973,-0.19026,0.1455,0.125,KR,0.4661,0.01177,0.8565,0.125,Hold,0.0683,0.0118,-0.1655,0.125,US,-0.1568,-0.06337,0.988,-0.12523,0.8197,-0.00512,-0.7704
2023-01-31,US,-0.1572,19.4,0.375,0.625,0.0,0.0,-0.005,-0.0261,-0.0156,-0.0261,0.125,KR,0.4088,0.02446,-0.9929,0.125,KR,0.391,0.04161,0.598,0.125,US,-0.647,0.125,US,-0.4011,0.125,US,-0.3594,-0.03387,-0.4513,0.125,US,-0.22,-0.03791,0.5784,0.125,KR,0.3267,0.04362,0.0599,0.125,US,-0.7569,-0.08333,0.9929,-0.03299,0.9638,-0.06103,-0.9776
